messages,label,sentiment_label
حرف ها تا اون حد ميتونن قوی باشن كه با يكيشون از ذوق تا صبح بيدار بمونی و با يكی ديگه‌ش تا صبح گريه كنی!,2023,Neutral
"یادته همش به شارژر وصل بودی و بخاطرش ریده بودی به باطری گوشیت؟!
این آدم هم یکی مثل همونه. گوشی هم خیلی گرون شده. پس خاموش کن و بگیر بخواب",2023,Neutral
"اگه دوس پسرتون شب بخیر گفت و آنلاین بود داره به نفر دوم شب بخیر میگه
ولی اگه شب بخیر گفت و آفلاین شد بدون خودت نفر دومی😁",2023,Positive
"صبح بخیر های معمولی رو‌ ولش! اینجوری بگو که:
«أقع في حبك كل صباح وهذه معجزة عينيك...»
و این معجزه ی چشمان توست...»",2023,Neutral
حرکات شکم پهلو انجام بدیم، که عضلات زیربغل و پشت و حتی ران‌ها در حرکت درگیرند.,2023,Neutral
"وقتی عکسشو براتون می‌فرسته مثل صائب تبریزی بهش بگید:
 «‏ما را بهشتِ نقد،
 تماشای دلبر است...»",2023,Neutral
اگه دوست اینجوری داری خوشبختی ...,2023,Neutral
ژن «پیروز» حفظ خواهد شد,2023,Neutral
اصن تو چرا نیستی؟ چرا وقتی من حالم اینجوریه تو نیستی؟ چرا وقتی خوشحالم تو نیستی؟ چرا صبح که از خواب پامیشم نیستی؟ چرا وقتی همه هستن تو نیستی؟ چرا هیشکی که نیست، تو هم نیستی؟…[خواب‌هایم بوی تن تو را می‌دهد! نکند آن‌دورترها، نیمه‌شب، مرا در آغوش می‌گیری؟]. ,2023,Neutral
"🔻مدیر اف‌بی‌آی: سرمنشاء کووید احتمالا حادثه‌ای آزمایشگاهی در چین است
🔹او به شبکه خبری «فاکس نیوز» گفت: «اف‌بی‌آی برای مدت قابل توجهی به این ارزیابی رسیده که سرمنشاء همه گیری به احتمال زیاد یک حادثه بالقوه آزمایشگاهی بوده است.»
🔹این اولین بار است که ارزیابی محرمانه اف‌بی‌آی (سازمان تحقیقات آگاهی فدرال آمریکا) به طور علنی مورد تایید یک مقام قرار می‌گیرد.
🔹چین نشت ویروس کرونا از آزمایشگاه ویروس شناسی ووهان را تکذیب و این ادعا را یک افترا توصیف می‌کند.",2023,Neutral
گروه جراحی قلب دانشگاه شیراز با استفاده از بافت انسانی تونستن یک دریچه سه لختی یا دریچه ریوی قلب بسازند و در بدن یک نوجوان کار بگذارند. دریچه سه لختی مانع برگشت خون از بطن راست به دهلیز راست میشه. دریچه‌های جایگزین فعلی از نوع حیوانی یا فلزی هستند و پس‌زده میشن. آفرین آفرین. ,2023,Neutral
برای اینکه وقتی کسی ازم تعریف می‌کنه به جای «چشماتون قشنگ می‌بینه» بگم «خیلی ممنوووونم ازت» ۳ سال تراپی شدم ,2023,Neutral
"حراست ازم پرسید اسم شما چیه؟ دلم می‌خواست بگم ""مرا مادرم نام مرگ تو کرد"" بعدم شمشیرمو فرو کنم تو قلبش ولی خب من رستم نیستم. ",2023,Neutral
"‏یه بنده خدایی ازم پرسید : دارک هیومر چیه ؟ 
گفتم : ینی طنز سیاه
گفت : ینی چی؟
گفتم : اون پسره رو میبینی اونجا که رو ویلچره؟ بهش بگو بیا بریم فوتبال.
گفت : دهن سرویس من نابینام!
گفتم : دقیقا",2023,Neutral
"اگه از بقیه خوش‌ شانس‌تر بودی سفره طولانی‌تری پهن کن، 
نه دیوار بلندتری",2023,Neutral
‏به نظرم تراپیست تو جامعه نهنگ ها شغل پردرآمدی باشه، همشون زمینه خودکشی دارن,2023,Neutral
‏درسته مرگ پیروز ربطی به اینی که می‌گم نداره. الان که ناراحت و احساسی هستید بدونید خیلی از گونه‌ها هستن که در معرض انقراضن فقط به خاطر غذا رسانی به سگ‌ها، و حمله‌ی گله‌ای سگ‌ها به این حیوانات.,2023,Neutral
"🔻راز «ساق پای انسان» کشف شده در سطل زباله چه بود؟!
🔹چند روز قبل به دلیل دیابت در بیمارستان بستری شدم که بخاطر شدت بیماری‌ام کادر درمان بیمارستان، یکی از پاهایم را در عمل جراحی قطع کردند!",2023,Neutral
‏همه تو رودرواسی رومون نمیشد اینو بگیم ولی ناموسا این انرژی‌زاها همشون دقیقا یه طعم ندارن؟ ارزون و گرونم نداره,2023,Neutral
مسمومیت دانش‌آموزان مدرسه دخترانه‌ای در تهرانسر/ اعزام اورژانس به محل,2023,Neutral
"میخای باهوش تر باشی و یه ورژن بهتر از خودت رو داشته باشی؟!
صبحها وقتی بیدار میشی، دو تا لیوان آب بخور.
- وقتی در مسیر رفت آمد تو اتوبوس، تاکسی، یا ماشین خودت هستی به کتاب های صوتی یا پادکست های انگیزشی و آموزشی گوش کن!
- ۱۰ دقیقه آخر هر روزتو رو به برنامه ریزی برای فردات اختصاص بده!",2023,Neutral
"نمی‌دونم سيکلِ معیوب «مسئله پولش نیست» دقیقاً از کجا شروع شد بینِ ما،
اما اینو می‌دونم که این جایی که ما زندگی می‌کنیم، اتفاقاً خیلی جاها مسئله پولشه، خیلی جاها رو نمی‌شه رفت، خیلی لباسا رو نمی‌شه پوشید، خیلی کارا رو نمی‌شه کرد!
حس خجالت و شرمساری القا نکنید به اطرافیانتون.",2023,Neutral
عمه‌م زنگ زد گفت خواب پیروز رو دیده داشته تو یه دشت سرسبز می‌دویده گفته من جام خوبه ,2023,Neutral
به مو میرسه، پاره هم میشه. اما باز گره می‌زنی و ادامه میدی. چون زندگی همینه.,2023,Neutral
یه آدم دروغ گو اولین تقاصی که پس میده از طرف حافظشه !,2023,Neutral
لبتون هر اندازه‌ای که هست زیباست. تو رو قرآن ژل تزریق نکنید.,2023,Neutral
اینایی که میگن ما اهل ازدواج نیستیم و میخوایم جوونی کنیم زر میزنن اتفاقا به شدت ازدواجی‌ان فقط خواستگار ندارن یا اونی که میخوان رو بهش نمیدن,2023,Neutral
گنگستر شهر آمل رو هم تبدیل به مداحی کردن 😐,2023,Neutral
در من، دانش‌آموزی؛ برگه‌ی رضایت والدینش را گم کرده است.,2023,Neutral
