Word,tfidf
حرف,0.0
ها,0.0
تا,0.0
اون,0.0
حد,0.0
ميتونن,0.0
قوی,0.0
باشن,0.0
كه,0.0
با,0.0
يكيشون,2.0881211889573143e-06
از,0.0
ذوق,0.0
صبح,0.0
بيدار,0.0
بمونی,0.0
و,0.0
يكی,1.1315575878380136e-05
ديگه‌ش,5.657787939190068e-06
گريه,2.0881211889573143e-06
كنی,1.1315575878380136e-05
!,0.0
یادته,0.0
همش,0.0
به,0.0
شارژر,1.46168483227012e-05
وصل,0.0
بودی,0.0
بخاطرش,0.0
ریده,0.0
باطری,4.1762423779146285e-06
گوشیت؟,5.657787939190068e-06
این,0.0
آدم,0.0
هم,0.0
یکی,0.0
مثل,0.0
همونه,0.0
.,0.0
گوشی,0.0
خیلی,0.0
گرون,0.0
شده,0.0
پس,0.0
خاموش,0.0
کن,0.0
بگیر,0.0
بخواب,0.0
اگه,0.0
دوس,0.0
پسرتون,8.352484755829257e-06
شب,0.0
بخیر,0.0
گفت,0.0
آنلاین,0.0
بود,0.0
داره,0.0
نفر,0.0
دوم,0.0
میگه,0.0
ولی,0.0
آفلاین,2.0881211889573143e-06
شد,0.0
بدون,0.0
خودت,0.0
دومی😁,5.657787939190068e-06
های,0.0
معمولی,0.0
رو‌,0.0
ولش,0.0
اینجوری,0.0
بگو,0.0
که,0.0
:,0.0
«,0.0
أقع,1.1315575878380136e-05
في,1.1315575878380136e-05
حبك,1.1315575878380136e-05
كل,0.0
صباح,1.6973363817570205e-05
وهذه,1.1315575878380136e-05
معجزة,1.1315575878380136e-05
عينيك,1.1315575878380136e-05
...,0.0
»,0.0
معجزه,0.0
ی,0.0
چشمان,6.264363566871942e-06
توست,8.352484755829257e-06
حرکات,1.8793090700615825e-05
شکم,0.0
پهلو,1.6973363817570205e-05
انجام,0.0
بدیم،,8.352484755829257e-06
عضلات,2.2631151756760272e-05
زیربغل,5.657787939190068e-06
پشت,0.0
حتی,0.0
ران‌ها,5.657787939190068e-06
در,0.0
حرکت,0.0
درگیرند,5.657787939190068e-06
وقتی,0.0
عکسشو,0.0
براتون,0.0
می‌فرسته,1.1315575878380136e-05
صائب,5.657787939190068e-06
تبریزی,1.1315575878380136e-05
بهش,0.0
بگید,0.0
‏ما,0.0
را,0.0
بهشتِ,5.657787939190068e-06
نقد،,5.657787939190068e-06
تماشای,0.0
دلبر,0.0
است,0.0
دوست,0.0
داری,0.0
خوشبختی,0.0
ژن,2.0881211889573143e-06
پیروز,1.46168483227012e-05
حفظ,0.0
خواهد,0.0
اصن,0.0
تو,0.0
چرا,0.0
نیستی؟,1.6704969511658514e-05
من,0.0
حالم,0.0
اینجوریه,0.0
خوشحالم,3.549806021227434e-05
خواب,0.0
پامیشم,1.1315575878380136e-05
همه,0.0
هستن,0.0
هیشکی,0.0
نیست،,0.0
نیستی؟…,5.657787939190068e-06
[,0.0
خواب‌هایم,5.657787939190068e-06
بوی,0.0
تن,0.0
می‌دهد,0.0
نکند,1.1315575878380136e-05
آن‌دورترها،,5.657787939190068e-06
نیمه‌شب،,5.657787939190068e-06
مرا,0.0
آغوش,0.0
می‌گیری؟,5.657787939190068e-06
],0.0
🔻مدیر,5.657787939190068e-06
اف‌بی‌آی,1.6973363817570205e-05
سرمنشاء,1.1315575878380136e-05
کووید,2.0881211889573143e-06
احتمالا,0.0
حادثه‌ای,5.657787939190068e-06
آزمایشگاهی,4.1762423779146285e-06
چین,0.0
🔹او,1.1315575878380136e-05
شبکه,0.0
خبری,0.0
فاکس,2.0881211889573143e-06
نیوز,2.0881211889573143e-06
برای,0.0
مدت,0.0
قابل,0.0
توجهی,0.0
ارزیابی,6.264363566871942e-06
رسیده,0.0
گیری,0.0
احتمال,0.0
زیاد,0.0
یک,0.0
حادثه,0.0
بالقوه,5.657787939190068e-06
بوده,0.0
است.,1.1315575878380136e-05
🔹این,2.8288939695950336e-05
اولین,0.0
بار,0.0
محرمانه,5.657787939190068e-06
(,0.0
سازمان,0.0
تحقیقات,2.7145575456445084e-05
آگاهی,1.044060594478657e-05
فدرال,5.657787939190068e-06
آمریکا,0.0
),0.0
