Word,tfidf
به,0.0
فروشندهه,3.4271994126193018e-06
گفتم,0.0
از,0.0
این,0.0
بیسکوئیتا,9.286035506205073e-06
کاکائوییشو,9.286035506205073e-06
دارید،,0.0
بيسکوئيت,9.286035506205073e-06
بغلیشو,9.286035506205073e-06
برداشت,0.0
گفت,0.0
بفرمایید,0.0
.,0.0
چیه,0.0
مرد,0.0
گنده؟,9.286035506205073e-06
باید,0.0
بگی,0.0
مگه,0.0
کوری,1.8572071012410146e-05
همش,0.0
فک,0.0
میکنم,0.0
کروناهای,1.8572071012410146e-05
ایران,0.0
با,0.0
حسرت,0.0
کشورای,6.8543988252386035e-06
دیگه,0.0
نگا,0.0
میکنن،بهشون,9.286035506205073e-06
میگن,0.0
:,0.0
بابا،اینا,9.286035506205073e-06
اصن,0.0
مارو,0.0
جدی,0.0
نمیگیرن،,1.8572071012410146e-05
هی,0.0
ما,0.0
جوک,0.0
می,0.0
سازن,9.286035506205073e-06
‏این,0.0
خلطای,9.286035506205073e-06
توی,0.0
گلو,1.713599706309651e-05
انقد,0.0
ارزش,0.0
داره,0.0
نباید,0.0
تف,0.0
بشه,0.0
دوباره,0.0
قورتش,3.4271994126193018e-06
بدی,0.0
برگرده,0.0
چرخه,0.0
وضعیت,0.0
ویروس,0.0
کرونا,0.003944706523924817
تو,0.0
😂😂😂,0.0
رو,0.0
بگیریم,0.0
دستکش,0.0
بپوشیم,9.286035506205073e-06
شبا,0.0
قبل,0.0
خواب,0.0
ژل,4.455359236405092e-05
ضدعفونی,0.0001713599706309651
کننده,0.0
استفاده,0.0
کنیم,0.0
دستا,1.0281598237857907e-05
مون,0.0
خوب,0.0
بشوریم,2.7417595300954414e-05
بعد,0.0
شیر,0.0
گاز,0.0
باز,0.0
بخوابیم,0.0
‏بزرگترین,0.0
دروغی,3.4271994126193018e-06
که,0.0
انسان,0.0
خودش,0.0
و,0.0
اطرافیانش,6.8543988252386035e-06
گفته,0.0
همین,0.0
جمله,0.0
``,0.0
سحرخیز,0.0
باش,0.0
تا,0.0
کامروا,1.3708797650477207e-05
باشی,0.0
'',0.0
عه,0.0
هر,0.0
کی,0.0
بوده,0.0
هم,0.0
اعصاب,0.0
حوصله,0.0
نداشته,0.0
دهنش,0.0
بو,0.0
میداده,0.0
ساعت,0.0
۱۲,0.0
بخوابید,6.8543988252386035e-06
شوید,1.0281598237857907e-05
ترافیک,0.0
کلیه,0.0
کلاس‌های,1.713599706309651e-05
آموزشی,0.0
مجازی,0.0
رایگان,0.0
خواهد,0.0
بود,0.0
‏دلایل,9.286035506205073e-06
استرسام,9.286035506205073e-06
اونقدر,0.0
زیاد,0.0
شده,0.0
نمیتونم,0.0
تفکیکشون,9.286035506205073e-06
کنم،,0.0
فقط,0.0
در,0.0
حد,0.0
میدونم,0.0
صبح,0.0
بیدار,0.0
میشم,0.0
وظیفه,0.0
دارم,0.0
کلی,0.0
استرس,0.0
داشته,0.0
باشم,0.0
‏خانمه,9.286035506205073e-06
لاتکس,9.286035506205073e-06
دستش,0.0
بود،,0.0
نشست,0.0
تاکسی،,3.4271994126193018e-06
دستکشا,9.286035506205073e-06
دراورد،,3.4271994126193018e-06
اسپری,0.0
الکل,0.0003153023459609758
زد،,0.0
پوشید,3.4271994126193018e-06
خود,0.0
پشماش,2.3990395888335114e-05
ریخته,0.0
),0.0
‏خوبه,3.4271994126193018e-06
